User,Timestamp,Compound_Score,Pos_Score,Neu_Score,Neg_Score,Tweets_Ago,Tweet_Text
BBCWorld,Wed Oct 17 23:47:01 +0000 2018,0.0,0.0,1.0,0.0,1,Cannabis in Canada: How it went down on Legalisation Day https://t.co/5MdgdYQXdA
BBCWorld,Wed Oct 17 23:21:28 +0000 2018,-0.6908,0.0,0.63,0.37,2,Sri Lanka's Sirisena calls India over 'murder plot' https://t.co/beifsC61Ip
BBCWorld,Wed Oct 17 23:09:57 +0000 2018,0.2235,0.173,0.827,0.0,3,Central African Republic: 'Why a grenade couldn't stop our music' https://t.co/0a77m2RydY
BBCWorld,Wed Oct 17 23:07:33 +0000 2018,0.0,0.0,1.0,0.0,4,Why is Germany beefing-up its military? https://t.co/LWjc8J7hNY
BBCWorld,Wed Oct 17 23:03:01 +0000 2018,0.5574,0.338,0.662,0.0,5,Venezuelans escape to Spain and ask to return old favour https://t.co/mI3KxWc1t1
BBCWorld,Wed Oct 17 22:35:41 +0000 2018,-0.6597,0.0,0.645,0.355,6,Jayme Closs: Hunt for 13-year-old after parents murdered https://t.co/3IgPkZ1cEQ
BBCWorld,Wed Oct 17 21:58:36 +0000 2018,-0.7845,0.0,0.465,0.535,7,Viktoria Marinova: Suspect in journalist murder extradited https://t.co/engmypMSmP
BBCWorld,Wed Oct 17 20:44:33 +0000 2018,0.0,0.0,1.0,0.0,8,Healthcare in US: The big election story not being talked about https://t.co/ZPcrVm5SHE
BBCWorld,Wed Oct 17 20:32:58 +0000 2018,0.0,0.0,1.0,0.0,9,Jamal Khashoggi disappearance: US asks Turkey for recording evidence https://t.co/ixQkpbtZfe
BBCWorld,Wed Oct 17 19:47:01 +0000 2018,-0.4767,0.131,0.584,0.285,10,Norway apologises to its World War Two 'German girls' https://t.co/vMLrR1iw39
BBCWorld,Wed Oct 17 17:43:39 +0000 2018,0.0,0.0,1.0,0.0,11,RT @BBCMonitoring: The state of #ISIS one year on from the fall of #Raqqa https://t.co/IzLar8GDrd
BBCWorld,Wed Oct 17 17:06:09 +0000 2018,0.296,0.306,0.694,0.0,12,Islands 'should share' housing refugees https://t.co/ReyopS2sVH
BBCWorld,Wed Oct 17 16:28:08 +0000 2018,-0.5994,0.0,0.698,0.302,13,Hurricane Michael: Death toll continues to rise amid searches https://t.co/x8O5RN8MvS
